0,,
12.718910348072617,1 to 86 of 86 entriesFilter ,
11.201514995009315,symbol,0
8.633001846275118,CMIN3.SA,12.722207565007734
8.546097286170333,BRAP4.SA,11.200723734023052
8.368193075880253,TAEE11.SA,8.632383911067171
7.533412567074895,CMIG4.SA,8.544910811224389
7.475467851141268,PETR4.SA,8.365762082663942
6.884739697548062,PETR3.SA,7.531012598930077
6.670250315778254,VIVT3.SA,7.475989865454035
6.34235573688561,BBSE3.SA,6.88407853050352
6.080459048710589,ELET6.SA,6.670859903591341
6.052011512852297,BBAS3.SA,6.34234177255555
6.032385096343431,CPLE6.SA,6.081028980013412
5.680483198593021,TRPL4.SA,6.0513622053213165
5.660902393877014,VBBR3.SA,6.031870026706977
5.644435635141351,SANB11.SA,5.680435763427685
5.586471925542773,ELET3.SA,5.6621686290815685
5.503897213053925,CSNA3.SA,5.6428572819677845
5.432597070448372,EGIE3.SA,5.586565153978154
4.921136628558565,VALE3.SA,5.503009159045608
4.917164039233572,PCAR3.SA,5.434107803782757
4.670142813216783,ITSA4.SA,4.920103540223654
4.644585379050835,CPFE3.SA,4.915538781328403
4.597988014756517,BRKM5.SA,4.6714415181147855
4.538592386580925,SLCE3.SA,4.644481031784414
4.270823023298768,CIEL3.SA,4.597477059879653
4.228243208693734,GOAU4.SA,4.536110026226685
4.205979529330719,MRFG3.SA,4.272010682648962
3.995736246187139,BBDC4.SA,4.22781008952346
3.9365614824098576,MRVE3.SA,4.2071491565635695
3.7552822649997175,BBDC3.SA,3.995222799819225
3.668498396191406,EZTC3.SA,3.9370651671208696
3.632636520612821,ITUB4.SA,3.754523199843651
3.6029524791475795,RAIZ4.SA,3.6644549632018655
3.5469632109782006,ENGI11.SA,3.6326165333171256
3.541155294038717,KLBN11.SA,3.602426296701524
3.5282804267813375,CYRE3.SA,3.5466030221578633
3.5169720824564203,GGBR4.SA,3.54044265662919
3.363033281782554,CCRO3.SA,3.5287373576269525
3.2508002431798153,B3SA3.SA,3.516544757945507
3.1902400924893453,ABEV3.SA,3.3621778535092703
2.7173010947465253,DXCO3.SA,3.2505035452523257
2.677545302258645,FLRY3.SA,3.19005109722569
2.610662775546655,BPAC11.SA,2.7174372744954964
2.527076542101679,UGPA3.SA,2.67746073435591
2.521303908062254,TIMS3.SA,2.6093002437199964
2.509402472626085,CSAN3.SA,2.5268568067805965
2.3683787297441286,JBSS3.SA,2.522005049304763
2.3669881874096306,SBSP3.SA,2.5095651590376162
2.314580422233138,USIM5.SA,2.366663710365154
2.29154085214575,RECV3.SA,2.3577424556232507
2.221268506425293,ALPA4.SA,2.315224076410622
2.1820061006629783,YDUQ3.SA,2.2907522549021873
2.1534765426093463,VAMO3.SA,2.218908625982509
2.1223702337127155,LREN3.SA,2.181165332695383
2.118761075629654,CRFB3.SA,2.1547234890729303
2.055333153041044,SMTO3.SA,2.121903613271348
1.9941595921852515,BEEF3.SA,2.118531713999663
1.9678984277741232,ARZZ3.SA,2.054819934530178
1.7619794264144175,HYPE3.SA,1.9933650715932887
1.725438265840769,MULT3.SA,1.9667077878658472
1.6200346178556475,WEGE3.SA,1.762049107275725
1.6040898577953642,RDOR3.SA,1.7252962575183135
1.603386887993338,EQTL3.SA,1.6200798913152235
1.546514643028176,TOTS3.SA,1.604137243258788
1.4255929959859994,IGTI11.SA,1.600837651667949
1.3399052943649077,RENT3.SA,1.548935554771809
1.3169414798558987,COGN3.SA,1.4260600972297695
1.2311397074816128,SUZB3.SA,1.339710525852965
0.918652290298532,CVCB3.SA,1.317443937497965
0.9139029343364746,ALOS3.SA,1.2073735011778433
0.8937201719509805,MGLU3.SA,0.9189333096592841
0.8652276911526618,VIVA3.SA,0.9131759752375911
0.7482974258772725,RADL3.SA,0.8936390875076548
0.6707942882319139,EMBR3.SA,0.8654682995206131
0.6351692819710674,BRFS3.SA,0.7485055174862484
0.5658966749656394,IRBR3.SA,0.6711842849111185
0.4997953646641227,ASAI3.SA,0.6359336252706715
0.34152175077582503,SOMA3.SA,0.5664794727771386
0.2978518526913177,NTCO3.SA,0.4960561953186033
0.22083879807727225,HAPV3.SA,0.341744821808337
0.06228324962312972,PETZ3.SA,0.2978994744220969
0.051577396819892186,LWSA3.SA,0.2210412167739517
0.006305317040252139,RRRP3.SA,0.06078434884188085
0.0,RAIL3.SA,0.05140645080156823
0.0,PRIO3.SA,0.006258388711639786
,AZUL4.SA,0.0
,ENEV3.SA,0.0
,Show  per pageLike what you see? Visit the data table notebook to learn more about interactive tables. ,
